# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Entries from original 2MASS XSC that have been rejected -- stellar sources, pieces of galaxies, artifacts, etc.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs notes
00031127-5444588   0.796456 -54.749447 317.341980 -61.008236 10.345 10.644 11.311 10.171 10.521 11.137 0.045 0.034 0.023 0.042 0.033 0.026 0.013 1.401 1.637 0.700 40    NN 0000 del_v3
00093966+5301008   2.415327  53.016827 116.586746  -9.339333 11.502 11.784 12.538 11.363 11.694 12.451 0.063 0.052 0.043 0.059 0.058 0.053 0.376 1.210 1.438 0.680 21    NN 0000 del_v3
00112204+0623372   2.841843   6.393631 105.343781 -55.103828 10.853 11.213 11.892 10.853 11.213 11.892 0.067 0.049 0.036 0.034 0.028 0.022 0.067 1.367 1.367 0.800 40    LM 0666 rjc_v0
00143065-0710028   3.627676  -7.167447  97.551323 -68.200401 10.150 10.434 11.109  9.947 10.230 10.933 0.045 0.032 0.023 0.040 0.030 0.027 0.034 1.524 1.734 0.880 98    NN 0333 del_v3
00144455-0720423   3.685690  -7.345094  97.510094 -68.386513  8.771  9.056  9.734  8.656  8.949  9.617 0.023 0.016 0.013 0.022 0.016 0.013 0.037 1.721 1.873 0.700 98    NN 0000 del_v3
00151096-2352551   3.795650 -23.881960  52.577480 -81.202030 10.870 11.084 11.706 10.404 10.552 11.706 0.081 0.053 0.036 0.064 0.043 0.022 0.021 1.531 1.793 0.380 22    JH 0111 del_v4
00203715+2839334   5.154780  28.659270 114.800310 -33.725300 11.167 11.573 12.286 10.905 11.354 11.982 0.052 0.043 0.033 0.049 0.048 0.038 0.039 1.318 1.607 0.600 21    JH 0331 del_v4
00240535-7204531   6.022330 -72.081444 305.895355 -44.889076  1.554  1.767  2.303  1.543  1.756  2.289 0.015 0.015 0.015 0.015 0.015 0.015 0.032 2.591 2.759 1.000 27    LM Z000 rjc_v0
00244982-4021070   6.207748 -40.352127 323.838074 -75.677353 11.662 12.102 13.034 11.568 11.952 12.866 0.070 0.052 0.044 0.068 0.056 0.052 0.016 1.332 1.536 0.200 98    NN 0000 del_v3
00255209-0939420   6.467057  -9.661720 102.671875 -71.520531 11.735 12.005 12.702 11.509 11.647 12.671 0.087 0.063 0.042 0.083 0.058 0.057 0.045 1.281 1.581 0.560 98    NN 0666 del_v3
00265282-7132113   6.719913 -71.536461 305.699860 -45.459538 11.323 11.589 11.737 11.323 11.589 11.737 0.121 0.087 0.035 0.064 0.052 0.021 0.033 1.534 1.534 0.740 26    ND 0666 rjc_v0
00271148+5103476   6.797798  51.063232 119.046852 -11.625392 11.537 11.894 12.581 11.308 11.706 12.290 0.057 0.045 0.036 0.057 0.053 0.042 0.166 1.188 1.503 0.560 21    NN 0331 del_v3
00293249+5150575   7.385430  51.849250 119.491720 -10.876050 11.160 11.540 12.274 11.159 11.540 12.274 0.056 0.044 0.037 0.086 0.086 0.050 0.162 1.533 1.676 0.320 22    JH 0666 del_v4
00350737+4929082   8.780820  49.485610 120.210500 -13.299780 11.652 12.125 12.686 11.311 11.710 12.273 0.081 0.070 0.047 0.083 0.078 0.054 0.162 1.265 1.604 0.440 22    NN 0000 del_v4
00364578+2134078   9.190726  21.568726 118.397522 -41.173698 10.940 11.247 11.972 10.826 11.236 11.821 0.045 0.044 0.028 0.041 0.051 0.029 0.034 1.562 1.731 0.240 40    LM 0222 rjc_v0
00385467+0703458   9.727830   7.062710 117.414560 -55.674730  9.920 10.270 10.944  9.232 10.210 10.944 0.082 0.068 0.044 0.072 0.103 0.024 0.030 1.889 2.152 0.680 22    JH 0333 del_v4
00424581-2333406  10.690921 -23.561363  93.673683 -85.930389  9.956 10.320 11.114  9.867 10.252 11.021 0.023 0.020 0.016 0.021 0.020 0.017 0.019 1.394 1.590 0.740 98    NN 0000 del_v3
00452378+5353203  11.349114  53.889034 122.030815  -8.972013 11.695 12.331 12.834 11.139 11.542 12.145 0.086 0.088 0.060 0.115 0.112 0.104 0.408 1.143 1.620 0.920 21    NN 0444 del_v3
00460635-0143434  11.526516  -1.728643 119.828026 -64.568207 11.440 11.741 12.348 11.440 11.741 12.348 0.083 0.054 0.036 0.046 0.033 0.024 0.027 1.435 1.434 0.400 98    NN 0222 del_v3
00510187-0703247  12.757734  -7.056939 122.637596 -69.928413  9.317  9.484 10.130  9.170  9.021 10.129 0.029 0.015 0.013 0.027 0.011 0.018 0.056 1.531 1.711 0.400 98    NN 0000 del_v3
00520075+6821243  13.003078  68.356667 122.985130   5.485120 11.459 11.726 12.408 11.359 11.633 12.273 0.066 0.059 0.053 0.067 0.069 0.065 0.907 1.173 1.418 0.440 25    LM 0333 del_v3
00523957-2637338  13.164923 -26.625999 151.475372 -89.428619  9.949  9.370 10.901  9.949  9.370 10.901 0.091 0.044 0.050 0.045 0.022 0.028 0.013 1.894 1.894 0.360 22    LM 0212 rjc_v0
00524844-2637078  13.201832 -26.618832 153.947418 -89.406075 10.972 10.636 11.818 10.972 10.636 11.818 0.105 0.059 0.046 0.052 0.030 0.028 0.012 1.627 1.627 0.320 22    LM 0111 rjc_v0
00525061-2635148  13.210793 -26.587456 153.102539 -89.374962  8.423  8.037  9.316  8.423  8.037  9.316 0.051 0.028 0.029 0.026 0.014 0.014 0.012 2.001 2.001 0.380 22    LM 0111 rjc_v0
00525389-2635418  13.224545 -26.594919 154.421341 -89.375107 10.333  9.876 11.363 10.333  9.876 11.363 0.087 0.045 0.048 0.044 0.043 0.028 0.012 1.791 1.907 0.340 22    LM 0222 rjc_v0
00545028+2914482  13.709491  29.246632 123.822525 -33.619141 10.405 10.847 11.720 10.332 10.767 11.633 0.029 0.024 0.021 0.028 0.025 0.024 0.057 1.332 1.534 0.560 98    NN 0000 del_v3
00564266-0954500  14.177757  -9.913924 127.312546 -72.740776  9.588  9.865 10.477  9.201  9.587 10.120 0.045 0.030 0.022 0.056 0.042 0.029 0.040 1.695 1.991 0.860 98    NN 0000 del_v3
00580474-8140329  14.519740 -81.675840 302.636930 -35.448570 10.888 10.972 11.744  9.466 10.971 11.744 0.394 0.227 0.177 0.112 0.258 0.228 0.119 2.066 2.198 0.420 21    JH 0111 del_v4
00584209+5628334  14.675556  56.475990 123.941048  -6.381392 10.355 11.238 12.205 10.043 10.861 11.929 0.045 0.066 0.062 0.055 0.083 0.096 0.538 1.412 1.753 0.660 25    LM 0113 del_v3
01024864-0624482  15.702662  -6.413338 130.877502 -69.109413 11.344 11.710 12.390 11.250 11.577 12.254 0.069 0.038 0.032 0.062 0.039 0.035 0.122 1.455 1.639 0.300 98    NN 0666 del_v3
01025144-6536359  15.714359 -65.609985 301.039581 -51.476257  9.107  9.396 10.174  9.107  9.396 10.174 0.035 0.028 0.023 0.017 0.014 0.012 0.019 2.040 2.040 0.140 98    NN 0555 del_v3
01074777+7312247  16.949270  73.206940 124.132230  10.373480 11.651 12.005 12.848 11.561 11.901 12.681 0.059 0.054 0.051 0.061 0.062 0.060 0.540 1.236 1.462 0.280 22    NN 0313 del_v4
01081982-7252599  17.082254 -72.883286 301.199982 -44.188084  8.547  8.661  9.318  8.547  8.550  9.131 0.025 0.018 0.014 0.013 0.022 0.016 0.102 1.751 1.964 0.800 27    LM 0111 rjc_v0
01115336+2743193  17.972370  27.722040 128.453640 -34.930250 11.595 12.162 12.792 11.276 11.779 12.318 0.086 0.072 0.052 0.085 0.079 0.056 0.051 1.230 1.551 0.740 22    NN 0313 del_v4
01240782-7309037  21.032909 -73.151115 299.660675 -43.768841 10.864 11.550 11.876 10.558 11.482 11.627 0.041 0.043 0.021 0.056 0.086 0.036 0.228 1.212 1.689 0.940 32    ND 0333 rjc_v0
01243377+0143532  21.140732   1.731398 139.696259 -60.057713  8.801  9.104  9.780  8.571  8.930  9.591 0.035 0.026 0.021 0.033 0.026 0.021 0.032 1.818 1.984 0.980 98    NN 0000 del_v3
01244565+0959356  21.190176   9.993226 136.335617 -52.009117 10.321 10.539 11.270 10.249 10.379 11.058 0.034 0.021 0.016 0.033 0.021 0.019 0.086 1.458 1.671 0.160 40    LM 0666 rjc_v0
01244585+0959406  21.191038   9.994645 136.336487 -52.007553  9.409  9.682 10.442  9.409  9.682 10.442 0.022 0.015 0.013 0.011 0.007 0.007 0.086 1.909 1.909 0.200 98    NN 0666 del_v3
01253143+0145335  21.380943   1.759291 140.145584 -59.968311  8.598  8.855  9.567  8.433  8.695  9.399 0.029 0.020 0.017 0.027 0.019 0.016 0.031 1.793 1.941 0.760 98    NN 0000 del_v3
01310193+4903364  22.758181  49.060009 129.578781 -13.299938 11.680 12.013 12.751 11.678 12.013 12.748 0.053 0.046 0.038 0.085 0.030 0.151 0.152 1.403 1.575 0.220 98    NN 0111 del_v3
01422276-1317152  25.594800 -13.287500 166.152050 -71.742070 11.373 11.848 12.483 11.373 11.848 12.483 0.065 0.050 0.035 0.035 0.031 0.023 0.019 1.417 1.416 0.580 22    NN 0333 del_v4
01500012+5354469  27.500463  53.913048 131.578125  -7.972534 10.390 11.087 11.827  9.927 10.650 11.615 0.049 0.067 0.052 0.065 0.101 0.108 0.434 1.456 1.864 0.440 25    LM 0111 del_v3
01503084+0608427  27.628531   6.145210 148.337097 -53.786964  9.339  9.731 10.428  9.228  9.696 10.226 0.018 0.018 0.017 0.027 0.028 0.021 0.053 1.609 1.930 0.440 40    LM Z000 rjc_v0
01533610+4357488  28.400396  43.963539 134.597687 -17.495476 11.494 11.866 12.490 11.311 11.733 12.209 0.063 0.057 0.038 0.057 0.061 0.038 0.066 1.248 1.472 0.640 98    NN 0111 del_v3
01550198-2600581  28.758250 -26.016130 212.062960 -75.746730 11.724 12.600 13.004 11.724 12.600 13.004 0.418 0.419 0.248 0.244 0.306 0.178 0.012 1.775 1.775 1.000 40    NN 0666 del_v4
01551704+5507250  28.820763  55.123482 132.039841  -6.615124 11.608 11.806 12.496 11.544 11.650 12.306 0.066 0.047 0.038 0.069 0.049 0.042 0.352 1.049 1.327 0.620 21    NN 0000 del_v3
01564822+3559412  29.200980  35.994820 137.481750 -25.023170  7.096  7.325  7.878  7.093  7.325  7.878 0.002 0.001 0.001 0.001 0.001 0.001 0.089 1.493 1.681 0.440 21    JH 0111 del_v4
01595247-0705233  29.968630  -7.089790 165.073730 -64.207840 10.838 11.180 12.600 10.838 11.180 12.600 0.052 0.031 0.043 0.026 0.017 0.029 0.025 1.575 1.575 0.320 98    NN 0004 del_v3
02021375-6926541  30.557320 -69.448320 294.023650 -46.436290  9.732 10.018 10.683  9.207 10.018 10.683 0.088 0.070 0.050 0.075 0.098 0.027 0.028 1.886 2.102 0.600 22    JH 0331 del_v4
02041854+2839224  31.077312  28.655910 141.710114 -31.544725 10.980 11.317 11.987 10.855 11.176 11.876 0.051 0.033 0.024 0.045 0.032 0.026 0.063 1.258 1.476 0.800 40    LM 0555 rjc_v0
02041855+2839171  31.077297  28.655008 141.710449 -31.545584 10.960 11.292 11.982 10.863 11.165 11.851 0.050 0.032 0.023 0.043 0.030 0.024 0.063 1.228 1.457 0.840 40    LM 0000 rjc_v1
02113146+5112023  32.880850  51.200780 135.502520  -9.705670 11.055 11.162 11.647 11.055 11.162 11.647 0.021 0.014 0.010 0.011 0.008 0.006 0.166 1.152 1.152 0.320 21    LM 0000 del_v4
02115327+7026364  32.971748  70.443489 129.617386   8.623237 11.454 12.071 13.132 11.330 12.054 12.970 0.088 0.085 0.079 0.079 0.100 0.091 0.946 1.354 1.554 0.420 40    LM 0661 rjc_v0
02142526+4934260  33.605152  49.573975 136.469437 -11.103979 11.385 11.759 12.463 11.252 11.542 12.185 0.047 0.037 0.031 0.044 0.037 0.032 0.211 1.140 1.387 0.700 21    LM 0000 del_v3
02175760+1433128  34.490040  14.553516 152.304520 -43.329033 10.624 10.701 11.501 10.624 10.701 11.501 0.088 0.040 0.037 0.044 0.020 0.022 0.113 1.559 1.558 0.280 40    LM 0666 rjc_v0
02210796-0259054  35.283160  -2.984740 168.412840 -57.706390 11.326 12.039 13.103 10.827 12.035 13.101 0.085 0.080 0.075 0.071 0.120 0.127 0.026 1.619 1.903 0.160 22    ZC 0000 del_v4
02213090+7038118  35.378740  70.636620 130.320160   9.068220  9.758  9.971 10.620  9.621  9.853 10.499 0.042 0.046 0.035 0.036 0.041 0.035 0.963 1.664 1.823 0.360 21    NN 0222 del_v4
02213358+7038115  35.389595  70.636612 130.323593   9.069452 11.485 11.866 12.746 11.379 11.456 12.322 0.068 0.064 0.048 0.066 0.054 0.044 0.964 1.204 1.434 0.860 40    LM 0111 rjc_v0
02224353+4225299  35.681389  42.424961 140.385162 -17.331861 11.337 12.304 12.131 11.337 12.304 12.131 0.115 0.178 0.052 0.116 0.225 0.033 0.065 1.772 1.906 0.160 40    JH 0333 rjc_v0
02251418-4025268  36.309116 -40.424084 253.422394 -66.525810 10.955 11.363 12.080 10.865 10.859 11.875 0.052 0.035 0.028 0.060 0.037 0.037 0.014 1.243 1.598 0.320 98    NN 0000 del_v3
02343012+1935176  38.625440  19.588170 153.796220 -37.030820 11.586 11.999 12.892 11.586 11.999 12.892 1.323 1.014 0.892 0.752 0.660 0.634 0.105 2.079 2.079 1.000 98    NN 0111 del_v4
02351028+2051182  38.792778  20.855045 153.207565 -35.845333 11.425 11.819 12.349 10.890 11.183 11.896 0.105 0.079 0.053 0.070 0.055 0.045 0.132 1.417 1.603 0.360 98    NN 0111 del_v3
02352867-0921306  38.869431  -9.358526 181.967194 -59.694885 10.149 10.388 11.005 10.149 10.388 11.005 0.048 0.031 0.020 0.024 0.016 0.011 0.027 1.747 1.748 0.540 40    LM 0666 rjc_v0
02353199-0709366  38.883335  -7.160091 178.751602 -58.249912 11.172 11.438 11.961 11.172 11.438 11.961 0.089 0.053 0.033 0.046 0.031 0.021 0.028 1.746 1.746 0.180 98    NN 0000 del_v3
02383270-0640386  39.636311  -6.677425 179.017944 -57.371513  8.630  8.889  9.544  8.495  8.771  9.424 0.023 0.015 0.012 0.021 0.015 0.012 0.026 1.751 1.902 0.780 98    NN 0000 del_v3
02400769-3432105  40.032116 -34.536274 237.299347 -65.607742 11.560 11.805 12.192 11.520 11.772 12.057 0.058 0.039 0.021 0.060 0.045 0.023 0.023 0.996 1.285 0.820 98    NN 0000 del_v3
02480619-1357272  42.025871 -13.957579 192.974518 -59.789661 10.622 10.923 11.584 10.505 10.830 11.452 0.049 0.030 0.022 0.042 0.028 0.022 0.024 1.436 1.626 0.600 40    LM 0666 rjc_v0
02543312+4135059  43.638046  41.584969 146.349747 -15.621040  9.670  9.975 10.763  9.670  9.975 10.763 0.063 0.057 0.046 0.031 0.029 0.025 0.115 1.868 1.868 0.420 40    LM 0666 rjc_v0
02570697+1731116  44.279137  17.519896 160.813950 -35.943775 10.795 11.056 11.881 10.795 11.056 11.881 0.057 0.042 0.031 0.028 0.023 0.019 0.191 1.509 1.509 0.360 40    LM 0262 rjc_v0
02575308+1301508  44.471240  13.030830 164.343600 -39.464470 10.846 11.249 11.869 10.391 10.776 11.407 0.073 0.060 0.040 0.075 0.070 0.052 0.163 1.464 1.809 0.600 22    JH 0000 del_v4
02580958+0321332  44.539982   3.359268 172.957672 -46.831917 10.713 11.023 11.692 10.712 10.860 11.570 0.057 0.049 0.032 0.071 0.044 0.031 0.125 1.483 1.631 0.540 40    LM 0111 rjc_v0
02594195+3849571  44.924747  38.832561 148.637497 -17.553423 11.423 12.215 13.670 11.416 12.215 13.667 0.105 0.108 0.133 0.110 0.073 0.203 0.089 1.365 1.534 0.420 25    LM 0222 rjc_v0
02594211+3602171  44.925644  36.038013 150.111252 -19.974730 11.650 12.051 12.748 11.611 12.023 12.728 0.049 0.041 0.030 0.179 0.162 0.099 0.245 1.188 1.399 0.520 98    NN 0111 del_v3
03011222+4454285  45.300930  44.907936 145.799133 -12.125026  7.721  8.022  8.776  7.721  8.022  8.776 0.012 0.010 0.009 0.006 0.005 0.004 0.224 1.748 1.748 1.000 40    LM 0111 rjc_v0
03011363+4453125  45.306793  44.886917 145.813339 -12.141339  9.206  9.490  9.363  9.206  9.490  9.363 0.028 0.023 0.009 0.014 0.011 0.004 0.219 1.594 1.594 0.520 40    LM 0222 rjc_v0
03050558+4403167  46.273434  44.054768 146.848602 -12.522633 11.730 12.063 12.801 11.663 11.925 12.621 0.059 0.044 0.041 0.065 0.052 0.050 0.246 1.250 1.471 0.420 98    NN 0000 del_v3
03052888+3347421  46.370213  33.794895 152.430664 -21.287292 11.638 11.947 12.684 11.526 11.901 12.603 0.065 0.051 0.042 0.064 0.060 0.051 0.301 1.299 1.509 0.280 98    NN 0000 del_v3
