# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "M": The NED query by 2MASS ID returned a match with no redshift, but a query by position (tolerance=1.3 arcminutes) returned a match with a redshift.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ QUAL NED_BIBCODE         NED_ALT_ENTRY                  RA           DEC       TYPE   NED_CZ  SEP NED_BIBCODE         CZ_ERR
00005234-3550370|2MASX J00005234-3550370       |00h00m52.3s -35d50m37s|IrS   |      |    |                   |6dF J0000522-355037           |00h00m52.3s -35d50m37s|G     | 15581| 0.0|20096dF...C...0000J|  45
00005317-3559104|2MASX J00005317-3559104       |00h00m53.2s -35d59m11s|IrS   |      |    |                   |6dF J0000532-355911           |00h00m53.2s -35d59m11s|G     | 15002| 0.0|20096dF...C...0000J|  45
00005858-3336429|2MASX J00005858-3336429       |00h00m58.6s -33d36m43s|IrS   |      |    |                   |6dF J0000585-333643           |00h00m58.6s -33d36m43s|G     |  6914| 0.0|20096dF...C...0000J|  45
00014401-3025082|2MASX J00014401-3025082       |00h01m44.0s -30d25m08s|IrS   |      |    |                   |ESO 409- G 002                |00h01m43.9s -30d25m08s|G     |  8604| 0.0|20032dF...C...0000C|  64
00020544-3037082|2MASX J00020544-3037082       |00h02m05.5s -30d37m08s|IrS   |      |    |                   |6dF J0002055-303708           |00h02m05.4s -30d37m08s|G     |  9063| 0.0|20096dF...C...0000J|  45
00024517-3213361|2MASX J00024517-3213361       |00h02m45.2s -32d13m36s|IrS   |      |    |                   |MCG -05-01-027                |00h02m45.2s -32d13m36s|G     |  8041| 0.0|20096dF...C...0000J|  45
00053129-3035116|2MASX J00053129-3035116       |00h05m31.3s -30d35m12s|IrS   |      |    |                   |6dF J0005312-303512           |00h05m31.3s -30d35m12s|G     |  8548| 0.0|20096dF...C...0000J|  45
00062997-3218179|2MASX J00062997-3218179       |00h06m30.0s -32d18m18s|G     |      |    |                   |ESO 349- G 029                |00h06m30.0s -32d18m18s|G     | 13531| 0.0|1998MNRAS.300..417R| 150
00072080-2807072|2MASX J00072080-2807072       |00h07m20.8s -28d07m07s|G     |      |    |                   |ESO 409-IG 021 NED01          |00h07m21.2s -28d07m18s|G     | 18048| 0.2|1998AJ....116....1D|  54
00084652-3100399|2MASX J00084652-3100399       |00h08m46.5s -31d00m40s|IrS   |      |    |                   |2dFGRS S434Z196               |00h08m46.6s -31d00m40s|G     | 16609| 0.0|20032dF...C...0000C|  89
00105717-3512292|2MASX J00105717-3512292       |00h10m57.2s -35d12m29s|IrS   |      |    |                   |ESO 349- G 037                |00h10m57.0s -35d12m29s|G     | 14910| 0.0|1986MNRAS.220..901P|  30
