Bins, HIstogram data
-1.750e-02 , 0 
1.750e-02 , 431878 
5.250e-02 , 1001808 
8.750e-02 , 1552516 
1.225e-01 , 2060253 
1.575e-01 , 2536419 
1.925e-01 , 2994447 
2.275e-01 , 3445576 
2.625e-01 , 3915306 
2.975e-01 , 4359688 
3.325e-01 , 4819720 
3.675e-01 , 5243671 
4.025e-01 , 5687635 
4.375e-01 , 6104848 
4.725e-01 , 6499858 
5.075e-01 , 6887128 
5.425e-01 , 7307929 
5.775e-01 , 7710528 
6.125e-01 , 8125532 
6.475e-01 , 8526744 
6.825e-01 , 8910643 
7.175e-01 , 9305620 
7.525e-01 , 9665978 
7.875e-01 , 9991253 
8.225e-01 , 10313904 
8.575e-01 , 10629396 
8.925e-01 , 10942604 
9.275e-01 , 11238947 
9.625e-01 , 11505240 
9.975e-01 , 11783979 
1.033e+00 , 11983005 
1.067e+00 , 12202496 
1.102e+00 , 12396800 
1.138e+00 , 12541690 
1.173e+00 , 12671751 
1.207e+00 , 12818322 
1.242e+00 , 12948974 
1.278e+00 , 13085775 
1.312e+00 , 13227021 
1.347e+00 , 13340627 
1.383e+00 , 13455391 
1.418e+00 , 13522162 
1.452e+00 , 13577192 
1.487e+00 , 13643794 
1.523e+00 , 13673522 
1.558e+00 , 13730995 
1.592e+00 , 13720310 
1.628e+00 , 13719360 
1.663e+00 , 13727338 
1.697e+00 , 13711756 
1.732e+00 , 13624628 
1.768e+00 , 13584755 
1.803e+00 , 13470260 
1.837e+00 , 13292963 
1.873e+00 , 13144881 
1.908e+00 , 12989242 
1.942e+00 , 12854841 
1.977e+00 , 12705061 
2.013e+00 , 12575601 
2.047e+00 , 12370256 
2.082e+00 , 12167265 
2.118e+00 , 11919152 
2.152e+00 , 11668293 
2.188e+00 , 11324255 
2.223e+00 , 10997990 
2.257e+00 , 10700092 
2.293e+00 , 10392269 
2.328e+00 , 10084646 
2.362e+00 , 9749092 
2.398e+00 , 9422431 
2.433e+00 , 9083029 
2.467e+00 , 8728176 
2.503e+00 , 8366731 
2.537e+00 , 7976677 
2.572e+00 , 7587606 
2.608e+00 , 7214988 
2.642e+00 , 6847236 
2.678e+00 , 6446023 
2.713e+00 , 6034100 
2.747e+00 , 5601601 
2.783e+00 , 5142655 
2.818e+00 , 4675457 
2.852e+00 , 4202550 
2.888e+00 , 3711143 
2.922e+00 , 3232402 
2.957e+00 , 2751835 
2.993e+00 , 2264839 
3.027e+00 , 1762433 
3.062e+00 , 1246768 
3.098e+00 , 704694 
3.132e+00 , 163755 
3.168e+00 , 0 
3.203e+00 , 0 
3.237e+00 , 0 
3.273e+00 , 0 
3.308e+00 , 0 
3.342e+00 , 0 
3.378e+00 , 0 
3.412e+00 , 0 
3.447e+00 , 0 
3.483e+00 , 0 
3.517e+00 , 0 
