Bins, HIstogram data
-1.750e-02 , 0 
1.750e-02 , 200250935 
5.250e-02 , 944333 
8.750e-02 , 1557549 
1.225e-01 , 2039817 
1.575e-01 , 2709283 
1.925e-01 , 3267587 
2.275e-01 , 3678441 
2.625e-01 , 4443781 
2.975e-01 , 4714836 
3.325e-01 , 5174785 
3.675e-01 , 6233165 
4.025e-01 , 6511929 
4.375e-01 , 6806710 
4.725e-01 , 7421332 
5.075e-01 , 8133713 
5.425e-01 , 8819881 
5.775e-01 , 9102104 
6.125e-01 , 9040705 
6.475e-01 , 9970429 
6.825e-01 , 9965327 
7.175e-01 , 10335009 
7.525e-01 , 11384658 
7.875e-01 , 12326223 
8.225e-01 , 12361693 
8.575e-01 , 13044469 
8.925e-01 , 13147617 
9.275e-01 , 13844233 
9.625e-01 , 14646378 
9.975e-01 , 14555167 
1.033e+00 , 15204636 
1.067e+00 , 14907320 
1.102e+00 , 16032782 
1.138e+00 , 16468561 
1.173e+00 , 18311043 
1.207e+00 , 18170722 
1.242e+00 , 17962794 
1.278e+00 , 19897002 
1.312e+00 , 19854802 
1.347e+00 , 21557987 
1.383e+00 , 22242024 
1.418e+00 , 23336750 
1.452e+00 , 26729833 
1.487e+00 , 28261831 
1.523e+00 , 18713793 
1.558e+00 , 8672380 
1.592e+00 , 3151561 
1.628e+00 , 3009192 
1.663e+00 , 2888397 
1.697e+00 , 2787482 
1.732e+00 , 2701679 
1.768e+00 , 2623717 
1.803e+00 , 2554713 
1.837e+00 , 2494589 
1.873e+00 , 2435242 
1.908e+00 , 2374127 
1.942e+00 , 2324692 
1.977e+00 , 2271350 
2.013e+00 , 2215917 
2.047e+00 , 2165297 
2.082e+00 , 2111621 
2.118e+00 , 2059516 
2.152e+00 , 2009616 
2.188e+00 , 1956332 
2.223e+00 , 1901821 
2.257e+00 , 1843697 
2.293e+00 , 1771131 
2.328e+00 , 1689926 
2.362e+00 , 1614041 
2.398e+00 , 1533446 
2.433e+00 , 1451543 
2.467e+00 , 1355131 
2.503e+00 , 1257679 
2.537e+00 , 1165897 
2.572e+00 , 1074955 
2.608e+00 , 1002755 
2.642e+00 , 893384 
2.678e+00 , 806986 
2.713e+00 , 721475 
2.747e+00 , 638107 
2.783e+00 , 559244 
2.818e+00 , 479888 
2.852e+00 , 401637 
2.888e+00 , 319716 
2.922e+00 , 244495 
2.957e+00 , 172291 
2.993e+00 , 106679 
3.027e+00 , 55808 
3.062e+00 , 21821 
3.098e+00 , 4942 
3.132e+00 , 116 
3.168e+00 , 0 
3.203e+00 , 0 
3.237e+00 , 0 
3.273e+00 , 0 
3.308e+00 , 0 
3.342e+00 , 0 
3.378e+00 , 0 
3.412e+00 , 0 
3.447e+00 , 0 
3.483e+00 , 0 
3.517e+00 , 0 
