X, Y, Z
5.216418, 4.903356, 3.158050
4.366059, 4.880675, 2.756243
5.029279, 4.978067, 3.346649
4.684419, 5.817147, 2.802287
5.148661, 5.062615, 3.132301
4.649168, 5.144145, 3.726026
4.726205, 5.797934, 3.174174
4.672406, 5.661035, 3.201155
5.256467, 5.563902, 3.131840
4.739295, 5.110747, 3.137225
4.450972, 5.202585, 3.179351
4.777684, 4.802391, 3.696030
4.699346, 5.124694, 2.818668
4.441931, 4.595947, 3.574245
4.945511, 5.287784, 3.245906
4.471358, 5.019148, 2.936354
4.025018, 4.833933, 2.799748
4.727695, 5.738998, 3.032069
4.128087, 5.109296, 3.707034
4.533258, 5.275798, 3.062179
4.584396, 5.082829, 3.082424
4.760865, 5.454812, 3.309279
4.789725, 5.558591, 3.280513
4.631492, 5.478612, 3.589890
5.092668, 4.930482, 3.256100
4.573265, 5.013832, 2.783172
5.094998, 5.289800, 2.727175
5.202312, 5.264998, 3.119225
4.699484, 5.309341, 3.037873
5.251261, 5.186396, 3.197342
5.133057, 5.475073, 2.751132
4.891186, 5.105554, 2.989124
5.354303, 5.209074, 3.144901
4.656967, 5.450362, 2.671097
4.200446, 5.336263, 2.593587
4.491967, 5.010951, 3.137946
4.620272, 5.456435, 2.508379
4.743273, 4.978102, 3.079465
5.041931, 4.730316, 3.551016
4.690792, 5.534209, 3.284437
4.793253, 4.926382, 2.745309
5.222133, 4.887007, 3.103504
4.274670, 4.828138, 3.231500
4.668578, 5.537371, 3.077172
4.651916, 4.450577, 3.092813
5.470865, 5.103928, 3.126408
5.073826, 5.122937, 2.923753
4.703336, 5.443521, 2.974584
4.814464, 5.391752, 3.049903
4.691128, 4.975902, 3.414509
3.532090, 1.621849, 2.145124
3.465940, 0.633825, 1.152513
4.220964, 1.246869, 1.716058
3.063803, 1.069912, 1.325522
3.390121, 0.957096, 1.079173
4.023716, 0.885892, 1.009958
3.474550, 1.158157, 1.669195
3.406365, 0.956894, 1.487564
3.122802, 1.371693, 1.511549
3.465315, 0.864098, 2.407527
3.770563, 1.083084, 1.543038
3.151818, 0.534517, 1.666247
3.756445, 1.366367, 1.729899
2.894191, 1.245534, 2.054082
3.590928, 0.744321, 1.762638
3.712773, 0.717296, 1.531597
3.633392, 1.132952, 1.366692
3.659538, 1.158561, 1.583345
3.910617, 1.431168, 1.850245
3.294407, 1.002416, 1.745499
3.134140, 0.960649, 1.808963
3.675492, 1.643890, 1.768403
3.733980, 1.471257, 1.972682
3.362508, 1.007468, 1.829115
3.268204, 1.297614, 1.694903
3.866899, 0.687182, 2.378095
3.941652, 1.123840, 2.001070
3.914081, 1.300890, 1.436089
4.109995, 1.714625, 1.903986
3.970280, 0.813491, 1.741854
3.685742, 0.787367, 2.046469
3.314395, 1.241413, 1.729700
3.988393, 1.406692, 1.114397
3.475389, 0.737717, 1.868440
3.506517, 0.877027, 1.917262
3.499429, 1.185762, 1.805208
4.009735, 1.448652, 1.904310
3.614445, 1.457081, 1.856735
