# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Additions to the 2MASS XSC -- deblended galaxy/star or galaxy/galaxy pairs, recentered galaxies. Provided by Tom Jarrett.
#
#ID               RAdeg      DECdeg       l          b        k_c    h_c    j_c    k_tc   h_tc   j_tc  e_k   e_h   e_j   e_kt  e_ht  e_jt   e_bv r_iso r_ext  b/a  type  ts flgs
22075242+3121329 331.968414  31.359150  86.506439 -19.707279  6.910  7.153  7.843  6.818  7.060  7.746 0.016 0.015 0.015 0.020 0.017 0.016 0.088 1.948 2.176 0.946 98    NN Z111
15062929+0136193 226.622055   1.605370   0.425580  48.796440  7.082  7.307  8.005  6.929  7.156  7.839 0.018 0.016 0.016 0.026 0.018 0.018 0.056 1.967 2.200 0.970 98    NN Z111
09102015+0702160 137.583969   7.037770 223.266113  33.987640  7.134  7.402  8.027  7.043  7.324  7.914 0.017 0.016 0.016 0.025 0.020 0.019 0.043 1.973 2.207 0.750 98    NN Z000
12200682+2916498 185.028412  29.280500 193.785263  82.772789  7.258  7.486  8.157  7.142  7.361  8.033 0.016 0.016 0.015 0.023 0.021 0.019 0.029 1.873 2.190 0.930 98    NN Z111
11095773-3732216 167.490540 -37.539341 281.578674  21.088923  7.279  7.535  8.177  7.150  7.416  8.037 0.017 0.016 0.016 0.025 0.021 0.019 0.101 1.933 2.200 0.790 98    NN Z111
12300227+1338112 187.509445  13.636450 281.545532  75.611969  7.353  7.603  8.227  7.216  7.475  8.072 0.017 0.017 0.016 0.025 0.023 0.019 0.032 1.914 2.172 0.960 98    NN Z111
10031914+6844014 150.829758  68.733727 141.899765  41.660172  7.476  7.684  8.274  7.280  7.479  8.065 0.018 0.017 0.016 0.032 0.025 0.021 0.067 2.004 2.306 0.781 98    NN Z111
08533275+5118489 133.386444  51.313580 167.325851  39.679951  7.587  7.860  8.517  7.426  7.700  8.347 0.016 0.016 0.016 0.029 0.026 0.022 0.023 1.884 2.235 0.840 98    NN Z111
12223204+2953432 185.633499  29.895321 187.688950  83.075630  7.627  7.874  8.548  7.445  7.710  8.374 0.017 0.017 0.016 0.024 0.022 0.019 0.025 1.949 2.211 0.680 98    NN Z111
13054892-0801135 196.453827  -8.020410 309.095825  54.679127  7.633  7.849  8.495  7.589  7.786  8.420 0.016 0.015 0.015 0.020 0.017 0.016 0.047 1.851 2.105 0.420 98    NN Z000
09423523+5851044 145.646805  58.851212 155.189926  44.664623  8.010  8.282  8.933  7.906  8.215  8.809 0.016 0.016 0.015 0.022 0.020 0.017 0.017 1.759 2.066 0.650 98    NN Z111
06054236-8637553  91.426521 -86.632019 299.201385 -27.746458  8.145  8.519  9.414  8.091  8.437  9.319 0.017 0.017 0.017 0.023 0.021 0.021 0.140 1.945 2.200 0.200 98    NN Z000
12500736+7252281 192.530685  72.874481 123.067131  44.253574  8.160  8.426  9.097  8.017  8.303  8.958 0.018 0.017 0.016 0.027 0.023 0.021 0.020 1.752 2.019 0.890 98    NN Z111
12543570-1234070 193.648743 -12.568610 304.137787  50.295700  8.230  8.489  9.212  8.058  8.324  9.036 0.019 0.017 0.016 0.032 0.023 0.022 0.053 1.806 2.097 0.700 98    NN 0111
11460646-5623280 176.526932 -56.391109 293.937744   5.335530  8.284  8.489  9.118  8.175  8.367  8.995 0.020 0.017 0.018 0.030 0.022 0.023 0.386 1.841 2.065 0.610 98    NN Z111
11074851-4631339 166.952118 -46.526070 284.984009  12.702768  8.322  8.540  9.180  8.205  8.420  9.060 0.021 0.018 0.018 0.027 0.022 0.021 0.137 2.011 2.154 0.341 98    NN Z111
23005996+3008412 345.249817  30.144779  96.217857 -26.935925  8.356  8.582  9.219  8.160  8.366  8.993 0.020 0.017 0.016 0.036 0.025 0.022 0.053 1.884 2.191 0.550 98    NN Z111
13395603-3138247 204.983444 -31.640181 314.860382  30.105780  8.480  8.687  9.242  8.229  8.449  9.007 0.021 0.017 0.017 0.042 0.028 0.024 0.056 1.893 2.211 0.520 98    NN Z111
20250669-2448339 306.277893 -24.809429  18.850071 -30.824091  8.484  8.793  9.432  8.279  8.630  9.257 0.019 0.017 0.016 0.034 0.030 0.024 0.063 1.830 2.154 0.620 98    NN Z111
14080314-3318542 212.013107 -33.315060 320.834076  26.879354  8.490  8.734  9.396  8.391  8.604  9.229 0.019 0.017 0.016 0.027 0.021 0.019 0.072 1.911 2.122 0.340 98    NN Z111
03053091+4250075  46.378799  42.835419 147.546951 -13.537421  8.525  8.785  9.476  8.427  8.685  9.363 0.017 0.017 0.016 0.023 0.020 0.019 0.137 1.881 2.099 0.380 98    NN Z111
03422931-1329174  55.622120 -13.488170 202.802780 -47.879707  8.563  8.836  9.500  8.485  8.747  9.379 0.018 0.016 0.016 0.025 0.020 0.018 0.068 1.985 2.204 0.242 98    NN Z000
10350824-4341306 158.784332 -43.691841 278.405884  12.594249  8.567  8.818  9.322  8.442  8.723  9.054 0.019 0.017 0.016 0.035 0.027 0.022 0.134 1.761 2.097 0.540 98    NN Z111
02383278-0640392  39.636581  -6.677550 179.018448 -57.371399  8.645  8.890  9.551  8.429  8.670  9.309 0.019 0.017 0.016 0.037 0.026 0.022 0.026 1.718 2.066 0.890 98    NN Z111
03593747-6738062  59.906119 -67.634770 281.371063 -40.726665  8.657  8.941  9.602  8.605  8.905  9.550 0.020 0.015 0.011 0.023 0.018 0.013 0.062 2.022 2.157 0.360 98    NN 0666
15395739+5804458 234.989120  58.079391  91.334747  47.393894  8.669  8.929  9.656  8.491  8.725  9.436 0.019 0.017 0.016 0.032 0.023 0.022 0.016 1.856 2.162 0.410 98    NN Z111
11251289-2644128 171.303696 -26.736879 280.094421  32.282707  8.674  8.914  9.583  8.485  8.729  9.343 0.022 0.020 0.018 0.035 0.031 0.024 0.056 1.881 2.130 0.470 98    NN Z111
01253140+0145325  21.380850   1.759030 140.145554 -59.968590  8.692  8.981  9.646  8.410  8.685  9.300 0.020 0.019 0.017 0.035 0.031 0.024 0.031 1.775 2.097 0.710 98    NN Z000
15091611-1119186 227.317139 -11.321820 348.526703  39.052788  8.707  8.923  9.587  8.539  8.738  9.396 0.022 0.018 0.017 0.037 0.024 0.024 0.108 1.866 2.129 0.490 98    NN Z111
00144460-0720430   3.685830  -7.345280  97.510246 -68.386734  8.758  9.030  9.720  8.560  8.822  9.507 0.019 0.017 0.016 0.030 0.024 0.021 0.037 1.721 2.022 0.680 98    NN Z000
01243380+0143522  21.140820   1.731180 139.696548 -60.057899  8.772  9.125  9.769  8.484  8.902  9.503 0.022 0.022 0.018 0.046 0.048 0.033 0.032 1.756 2.095 0.950 98    NN Z000
09134319+7628311 138.429962  76.475304 136.254868  34.361675  8.813  9.093  9.821  8.714  8.970  9.709 0.018 0.017 0.016 0.026 0.024 0.021 0.027 1.761 2.048 0.390 98    NN Z000
12425243+1315260 190.718460  13.257230 294.295929  75.985085  8.843  9.037  9.715  8.737  8.902  9.578 0.020 0.018 0.017 0.032 0.026 0.021 0.026 1.657 1.940 0.780 98    NN Z000
12543658-1233288 193.652405 -12.558010 304.143707  50.306229  8.873  9.097  9.772  8.624  8.855  9.523 0.022 0.018 0.017 0.035 0.024 0.023 0.053 1.654 1.930 0.940 98    NN 0111
09334613+1009086 143.442215  10.152390 223.177155  40.563263  8.910  9.161  9.868  8.619  8.875  9.576 0.023 0.019 0.018 0.039 0.028 0.026 0.031 1.682 1.978 0.860 98    NN Z111
22024158-5117477 330.673248 -51.296589 343.918671 -50.191944  8.966  9.189  9.596  8.579  8.782  9.093 0.030 0.025 0.019 0.052 0.041 0.026 0.025 1.885 2.162 0.560 98    NN Z111
17290966-6226447 262.290253 -62.445740 329.577789 -15.047311  9.013  9.245  9.946  8.761  8.985  9.714 0.022 0.020 0.018 0.036 0.030 0.027 0.084 1.818 2.097 0.500 98    NN Z111
22165396+4030083 334.219000 +40.504611  93.714928 -13.442345  9.057  9.322  9.988  9.057  9.322  9.988 0.025 0.019 0.016 0.013 0.030 0.040 0.168 1.794 1.911 0.360 98    NN 0331
11564415+3201178 179.183975  32.021610 187.280899  77.151985  9.066  9.367 10.133  8.989  9.281 10.041 0.017 0.016 0.016 0.022 0.019 0.018 0.030 1.789 2.044 0.240 98    NN Z000
13462465+4606266 206.602707  46.107391  96.700630  68.120911  9.088  9.333 10.070  8.939  9.172  9.881 0.021 0.018 0.017 0.034 0.026 0.023 0.017 1.940 2.211 0.220 98    NN Z111
01025152-6536366  15.714650 -65.610153 301.039429 -51.476082  9.145  9.449 10.216  9.029  9.352 10.092 0.023 0.020 0.019 0.033 0.028 0.024 0.019 1.989 2.195 0.154 98    NN Z111
12284331+1145177 187.180435  11.754920 282.703888  73.727905  9.158  9.329 10.043  9.061  9.194  9.922 0.021 0.018 0.017 0.033 0.024 0.022 0.030 1.766 2.021 0.280 98    NN Z000
14511789+5858398 222.824554  58.977730  98.210312  52.010914  9.301  9.653 10.442  9.206  9.546 10.319 0.017 0.017 0.016 0.023 0.021 0.020 0.011 1.787 2.068 0.220 98    NN Z111
01244588+0959403  21.191160   9.994520 136.336716 -52.007648  9.359  9.623 10.375  9.293  9.534 10.300 0.019 0.017 0.017 0.025 0.020 0.019 0.086 1.838 2.059 0.160 98    NN Z000
13095169-1630566 197.465363 -16.515711 309.309753  46.127728  9.369  9.641 10.262  9.286  9.552 10.145 0.020 0.017 0.016 0.031 0.023 0.020 0.084 1.573 1.868 0.520 98    NN 0111
00510186-0703249  12.757760  -7.056930 122.637672 -69.928406  9.401  9.554 10.215  9.223  9.397 10.046 0.020 0.017 0.016 0.035 0.023 0.020 0.056 1.486 1.814 1.000 98    NN Z111
00564267-0954507  14.177810  -9.914070 127.312752 -72.740913  9.620  9.842 10.510  9.322  9.612 10.189 0.031 0.023 0.020 0.051 0.036 0.028 0.040 1.659 1.930 0.810 98    NN Z000
07114179+4952003 107.922500 +49.861944 167.382324  23.532295  9.632 10.928 11.608  9.632 10.928 11.608 0.034 0.074 0.046 0.017 0.040 0.027 0.067 1.722 1.722 0.500 98    NN 0141
13355382-3417447 203.974243 -34.295750 313.292358  27.679993  9.690 10.208 10.965  9.619 10.139 10.909 0.018 0.017 0.017 0.023 0.020 0.020 0.060 1.344 1.654 0.540 98    NN Z111
18164944-5713361 274.205917 -57.230528 337.199554 -18.114309  9.693  9.915 11.944  9.693  9.915 11.944 0.037 0.029 0.062 0.039 0.030 0.039 0.117 1.679 1.807 0.280 98    NN 0111
16295807+4037430 247.491974  40.628620  64.428734  43.462700  9.847 10.171 10.920  9.607  9.861 10.668 0.025 0.022 0.020 0.039 0.032 0.028 0.008 1.474 1.757 0.940 98    NN Z111
13065923-5713382 196.748542 -57.224694 305.045105   5.580831  9.898 10.181 10.876  9.752 10.081 10.875 0.044 0.043 0.037 0.043 0.042 0.266 0.383 1.452 1.685 0.520 98    NN 0333
04042714-0211210  61.113079  -2.189170 193.065582 -37.558422  9.912 10.144 10.721  9.576  9.864 10.465 0.029 0.023 0.020 0.053 0.040 0.031 0.166 1.771 2.098 0.320 98    NN Z111
03582336-4428024  59.591505 -44.466517 250.545883 -48.999416  9.925 10.180 10.883  9.925 10.180 10.883 0.040 0.027 0.022 0.020 0.014 0.012 0.013 1.918 1.918 0.140 98    NN 0000
00424586-2333418  10.691100 -23.561600  93.674141 -85.930679  9.959 10.323 11.113  9.889 10.275 10.968 0.019 0.018 0.018 0.030 0.028 0.025 0.019 1.338 1.708 0.780 98    NN Z000
00143062-0710026   3.627580  -7.167400  97.551140 -68.200317  9.976 10.295 11.002  9.687  9.993 10.682 0.029 0.025 0.021 0.057 0.046 0.035 0.034 1.529 1.876 0.810 98    NN Z000
14513085-5231421 222.878525 -52.528358 320.757111   6.137710 10.024 10.289 10.949  9.757 10.005 10.658 0.030 0.029 0.028 0.042 0.040 0.038 0.647 1.461 1.708 0.720 98    NN 0111
18125540+6821479 273.230835  68.363319  98.471809  28.603525 10.049 10.365 11.095  9.924 10.149 10.787 0.022 0.018 0.018 0.039 0.026 0.023 0.047 1.512 1.877 0.400 98    NN Z111
05081970+1721477  77.082092  17.363239 185.042404 -13.492501 10.066 10.418 11.150  9.969 10.340 11.102 0.021 0.021 0.019 0.031 0.033 0.029 0.352 1.332 1.654 0.680 98    NN Z000
04531024+3423105  73.293810 +34.384680 169.132584  -6.020551 10.084 10.314 11.061 10.023 10.239 10.985 0.029 0.025 0.025 0.027 0.024 0.028 0.969 1.626 1.804 0.200 98    NN 0666
