# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "C/F/D": NED entries superceded by new measurements from 2MRS ([C]TIO, [F]LWO, Mc[D]onald).
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ QUAL NED_BIBCODE         2MRS_CZ  ERR CD 2MRS_BIBCODE
00010597-5359303|ESO 149- GA011                |00h01m06.0s -53d59m31s|G     |  9415|    |20096dF...C...0000J|   9423|  28|C |20112MRS.CTIO.0000H
00023794+1638377|IC 5378 NED01                 |00h02m37.9s +16d38m38s|G     |  6350|    |1999PASP..111..438F|   6352|  21|F |20112MRS.FLWO.0000H
00031064-5444562|PKS 0000-550                  |00h03m11.1s -54d44m58s|G     |  9790|    |20096dF...C...0000J|   9767|  24|C |20112MRS.CTIO.0000H
00034964+0203594|2MASX J00034964+0203594       |00h03m49.7s +02d04m00s|G     | 29320|    |2000ApJS..129..547B|  28603|  30|F |20112MRS.FLWO.0000H
00042463-5257316|2MASX J00042463-5257316       |00h04m24.6s -52d57m32s|G     |  9851|    |20096dF...C...0000J|   9814|  39|C |20112MRS.CTIO.0000H
00043594-4528463|2MASX J00043594-4528463       |00h04m35.9s -45d28m46s|G     | 11794|    |20096dF...C...0000J|  11723|  31|C |20112MRS.CTIO.0000H
00045169-5429144|ESO 149- G 016                |00h04m51.7s -54d29m14s|G     | 10879|    |20096dF...C...0000J|  10908|  24|C |20112MRS.CTIO.0000H
00053994-5349010|2MASX J00053994-5349010       |00h05m39.9s -53d49m01s|G     | 11028|    |20096dF...C...0000J|  11063|  24|C |20112MRS.CTIO.0000H
00055690-1359448|MCG -02-01-023                |00h05m56.9s -13d59m45s|G     |  5730|    |20096dF...C...0000J|   5751|  22|F |20112MRS.FLWO.0000H
00062990-5350042|ESO 149-IG 017 NED02          |00h06m29.9s -53d50m04s|G     | 10768|    |20096dF...C...0000J|  10695|  29|C |20112MRS.CTIO.0000H
00065396+0821027|NGC 7838                      |00h06m54.0s +08d21m03s|G     | 11596|    |1999PASP..111..438F|  11606|  32|F |20112MRS.FLWO.0000H
00073223-4849360|ESO 193- G 029                |00h07m32.3s -48d49m36s|G     | 10583|    |20096dF...C...0000J|  10500|  27|C |20112MRS.CTIO.0000H
00102524-5659209|NGC 0028                      |00h10m25.2s -56d59m21s|G     |  9640|    |20096dF...C...0000J|   9595|  39|C |20112MRS.CTIO.0000H
00112290-5657264|NGC 0037                      |00h11m22.9s -56d57m26s|G     |  9775|    |20096dF...C...0000J|   9809|  25|C |20112MRS.CTIO.0000H
00112521-4844004|ESO 193- G 034                |00h11m25.2s -48d44m01s|G     | 20622|    |20096dF...C...0000J|  20588|  38|C |20112MRS.CTIO.0000H
00154647-5913412|2MASX J00154647-5913412       |00h15m46.5s -59d13m41s|G     |  9277|    |20096dF...C...0000J|   9208|  27|C |20112MRS.CTIO.0000H
00163965+0136383|CGCG 382-039 NED02            |00h16m39.7s +01d36m39s|G     | 13407|    |1996ApJS..105..209I|  13435|  30|F |20112MRS.FLWO.0000H
00183335-0616195|MCG -01-01-072                |00h18m33.4s -06d16m19s|G     |  6660|    |20096dF...C...0000J|   6520|  22|F |20112MRS.FLWO.0000H
00213137+3804367|MCG +06-01-029                |00h21m31.4s +38d04m37s|G     | 10463|    |1998A&AS..127..521W|  10498|  19|F |20112MRS.FLWO.0000H
00214374-6142399|ESO 111- G 025                |00h21m43.8s -61d42m40s|G     | 10029|    |20096dF...C...0000J|  10005|  40|C |20112MRS.CTIO.0000H
00231884-4349425|2MASX J00231884-4349425       |00h23m18.8s -43d49m42s|G     | 10489|    |20096dF...C...0000J|  10575|  25|C |20112MRS.CTIO.0000H
00233691-4215167|LCRS B002109.0-423154         |00h23m36.9s -42d15m16s|G     | 15778|    |20096dF...C...0000J|  15885|  45|C |20112MRS.CTIO.0000H
00260321-0720047|2MASX J00260321-0720047       |00h26m03.2s -07d20m05s|G     | 15875|    |20096dF...C...0000J|  15914|  42|F |20112MRS.FLWO.0000H
00333689-5248070|AM 0031-530                   |00h33m36.9s -52d48m07s|G     | 14212|    |20096dF...C...0000J|  14258|  32|C |20112MRS.CTIO.0000H
