# The 2MASS Redshift Survey
# Huchra et al., to be submitted to ApJS
#
# http://tdc-www.harvard.edu/2mrs/
# catalog version 2.1, 2011 June 22
# maintained by Lucas Macri, lmacri@tamu.edu
#
# Code "M": NED entries with multiple cz measurements. Default NED redshift in poor agreement with other published measurements or has an uncertainty larger than other published measurements. Alternative NED redshift used. Alternatively, the NED query returned a match to a published value that has been superceded ; a newer measurement is already in NED but shows up as a separate source.
#
#2MASS_ID        NED_ID                         RA          DEC        TYPE   NED_CZ QUAL NED_BIBCODE         NED_ALT_ENTRY                  RA           DEC       TYPE   NED_CZ  SEP NED_BIBCODE         CZ_ERR
00013415-3619001|ESO 349- G 018                |00h01m34.1s -36d19m00s|G     | 14690|    |1992NED11.R......1N|ESO 349- G 018                |00h01m34.1s -36d19m00s|G     | 14649| 0.0|20096dF...C...0000J|  45 / 2 NED objects to be merged
00562301+1352345|UGC 00582                     |00h56m23.0s +13d52m35s|G     | 11975|    |1992ApJS...83...29S|UGC 00582                     |00h56m23.0s +13d52m35s|G     | 24687| 0.0|2004SDSS2.C...0000:|  64 / prefer SDSS over older measurement
01155764+0510435|NGC 0455                      |01h15m57.6s +05d10m43s|G     |  5827|    |2006AJ....131..185R|NGC 0455                      |01h15m57.6s +05d10m43s|G     |  5294| 0.0|2003AJ....126.2268W|  17 / agrees with T00843
01194146-3306209|ESO 352- G 044                |01h19m41.5s -33d06m21s|G     |  9286|    |2003A&A...412...57P|ESO 352- G 044                |01h19m41.5s -33d06m21s|G     |  5813| 0.0|1998AJ....116....1D|  35 / agrees with 1998MNRAS.300..417R & 20032dF...C...0000C
02101150-0903357|KUG 0207-092                  |02h10m11.5s -09d03m36s|G     | 12400|    |2004SDSS2.C...0000:|KUG 0207-092                  |02h10m11.5s -09d03m36s|G     | 12421| 0.0|2004SDSS2.C...0000:|  44 / AGN; use em line spectrum cz from SDSS
02471331+1631590|2MASX J02471331+1631590       |02h47m13.5s +16d31m59s|G     |  8517|    |1995ApJ...449..527L|2MASX J02471331+1631590       |02h47m13.5s +16d31m59s|G     | 11794| 0.0|1995ApJS..100...69F|  36 / prefer optical cz over HI measurement
03153355-1552455|NGC 1262                      |03h15m33.6s -15d52m46s|G     | 34674|    |1993AJ....105.1637H|NGC 1262                      |03h15m33.6s -15d52m46s|G     | 24977| 0.0|1993AJ....105.1637H|  51 / yields more reasonable M_K
04045553+2049474|UGC 02948                     |04h04m55.5s +20d49m47s|G     |  5204|    |1991RC3.9.C...0000d|UGC 02948                     |04h04m55.5s +20d49m47s|G     |  6163| 0.0|2005ApJS..160..149S|   1 / prefer newer HI measurement over RC3
04385474+1850204|UGC 03115                     |04h38m54.8s +18d50m21s|G     |  3290|    |1992ZCAT..M...0000H|UGC 03115                     |04h38m54.8s +18d50m21s|G     |  3255| 0.0|1997MNRAS.291..461S|  30 / older ZCAT entry has been superceded
04462945-5636343|ESO 158- G 004                |04h46m29.4s -56d36m34s|G     | 12411|    |1992NED11.R......1N|ESO 158- G 004                |04h46m29.4s -56d36m34s|G     | 12418| 0.0|1985LCS.......0000D|  29 / v in RC3, already in NED
04583327-0033118|CGCG 394-056                  |04h58m33.3s -00d33m12s|G     |  4165|    |1999MNRAS.305..259W|CGCG 394-056                  |04h58m33.3s -00d33m12s|G     |  4807| 0.0|1988PASP..100.1423M|  32 / from Z-machine (T15278) ; NED cz identical for CGCG 394-056 & 394-055 ; typo in former?
