Angular_Distances(radians) , Number_of_Entries
-3.500e-03 , 0 
3.500e-03 , 35423 
1.050e-02 , 64107 
1.750e-02 , 87491 
2.450e-02 , 110283 
3.150e-02 , 134574 
3.850e-02 , 156621 
4.550e-02 , 179338 
5.250e-02 , 200312 
5.950e-02 , 221781 
6.650e-02 , 243755 
7.350e-02 , 266691 
8.050e-02 , 289319 
8.750e-02 , 311029 
9.450e-02 , 331324 
1.015e-01 , 354152 
1.085e-01 , 373861 
1.155e-01 , 394634 
1.225e-01 , 412449 
1.295e-01 , 429919 
1.365e-01 , 449390 
1.435e-01 , 468052 
1.505e-01 , 487345 
1.575e-01 , 507209 
1.645e-01 , 528488 
1.715e-01 , 545328 
1.785e-01 , 561552 
1.855e-01 , 580881 
1.925e-01 , 599433 
1.995e-01 , 618440 
2.065e-01 , 634140 
2.135e-01 , 651718 
2.205e-01 , 670006 
2.275e-01 , 688807 
2.345e-01 , 707139 
2.415e-01 , 727914 
2.485e-01 , 746609 
2.555e-01 , 765692 
2.625e-01 , 783970 
2.695e-01 , 800449 
2.765e-01 , 818578 
2.835e-01 , 835294 
2.905e-01 , 851917 
2.975e-01 , 873550 
3.045e-01 , 890381 
3.115e-01 , 908545 
3.185e-01 , 929959 
3.255e-01 , 948759 
3.325e-01 , 965791 
3.395e-01 , 977896 
3.465e-01 , 997317 
3.535e-01 , 1015473 
3.605e-01 , 1033006 
3.675e-01 , 1048361 
3.745e-01 , 1064532 
3.815e-01 , 1082286 
3.885e-01 , 1103287 
3.955e-01 , 1119317 
4.025e-01 , 1137533 
4.095e-01 , 1155835 
4.165e-01 , 1171662 
4.235e-01 , 1189807 
4.305e-01 , 1203957 
4.375e-01 , 1220224 
4.445e-01 , 1234988 
4.515e-01 , 1255888 
4.585e-01 , 1268431 
4.655e-01 , 1285572 
4.725e-01 , 1298848 
4.795e-01 , 1315506 
4.865e-01 , 1331502 
4.935e-01 , 1345176 
5.005e-01 , 1359746 
5.075e-01 , 1376730 
5.145e-01 , 1392624 
5.215e-01 , 1412846 
5.285e-01 , 1424577 
5.355e-01 , 1443440 
5.425e-01 , 1463723 
5.495e-01 , 1480634 
5.565e-01 , 1495563 
5.635e-01 , 1507681 
5.705e-01 , 1525611 
5.775e-01 , 1541081 
5.845e-01 , 1560243 
5.915e-01 , 1575923 
5.985e-01 , 1589023 
6.055e-01 , 1607825 
6.125e-01 , 1627073 
6.195e-01 , 1641801 
6.265e-01 , 1659794 
6.335e-01 , 1674391 
6.405e-01 , 1687772 
6.475e-01 , 1707739 
6.545e-01 , 1721134 
6.615e-01 , 1735711 
6.685e-01 , 1748648 
6.755e-01 , 1767518 
6.825e-01 , 1784402 
6.895e-01 , 1797886 
6.965e-01 , 1812187 
7.035e-01 , 1830573 
7.105e-01 , 1844980 
7.175e-01 , 1862210 
7.245e-01 , 1877390 
7.315e-01 , 1890467 
7.385e-01 , 1910167 
7.455e-01 , 1917446 
7.525e-01 , 1933953 
7.595e-01 , 1946440 
7.665e-01 , 1957944 
7.735e-01 , 1970155 
7.805e-01 , 1988286 
7.875e-01 , 1996770 
7.945e-01 , 2012571 
8.015e-01 , 2023491 
8.085e-01 , 2035170 
8.155e-01 , 2050625 
8.225e-01 , 2062285 
8.295e-01 , 2077866 
8.365e-01 , 2087949 
8.435e-01 , 2103104 
8.505e-01 , 2115081 
8.575e-01 , 2125154 
8.645e-01 , 2137697 
8.715e-01 , 2148360 
8.785e-01 , 2159964 
8.855e-01 , 2174166 
8.925e-01 , 2190132 
8.995e-01 , 2203797 
9.065e-01 , 2214561 
9.135e-01 , 2224350 
9.205e-01 , 2238820 
9.275e-01 , 2250101 
9.345e-01 , 2257461 
9.415e-01 , 2268164 
9.485e-01 , 2279220 
9.555e-01 , 2289899 
9.625e-01 , 2297251 
9.695e-01 , 2313462 
9.765e-01 , 2325480 
9.835e-01 , 2334444 
9.905e-01 , 2345199 
9.975e-01 , 2358500 
1.005e+00 , 2368456 
1.012e+00 , 2377363 
1.019e+00 , 2380570 
1.026e+00 , 2386097 
1.033e+00 , 2396036 
1.039e+00 , 2404604 
1.047e+00 , 2415693 
1.054e+00 , 2427366 
1.061e+00 , 2434438 
1.067e+00 , 2438723 
1.075e+00 , 2445318 
1.082e+00 , 2456671 
1.089e+00 , 2465335 
1.095e+00 , 2474316 
1.103e+00 , 2477403 
1.110e+00 , 2487199 
1.117e+00 , 2492530 
1.123e+00 , 2497500 
1.131e+00 , 2503664 
1.138e+00 , 2507654 
1.145e+00 , 2512448 
1.151e+00 , 2520428 
1.159e+00 , 2520811 
1.166e+00 , 2531566 
1.173e+00 , 2532167 
1.179e+00 , 2540419 
1.187e+00 , 2546813 
1.194e+00 , 2553265 
1.201e+00 , 2559706 
1.207e+00 , 2566875 
1.215e+00 , 2567843 
1.222e+00 , 2570654 
1.229e+00 , 2576516 
1.236e+00 , 2581833 
1.243e+00 , 2590047 
1.250e+00 , 2598790 
1.257e+00 , 2601737 
1.264e+00 , 2607256 
1.271e+00 , 2610744 
1.278e+00 , 2615144 
1.285e+00 , 2621871 
1.292e+00 , 2630759 
1.299e+00 , 2639484 
1.306e+00 , 2639347 
1.312e+00 , 2647527 
1.320e+00 , 2643973 
1.327e+00 , 2656744 
1.334e+00 , 2662873 
1.340e+00 , 2666676 
1.348e+00 , 2666832 
1.355e+00 , 2669125 
1.362e+00 , 2675066 
1.368e+00 , 2687138 
1.376e+00 , 2687687 
1.383e+00 , 2688681 
1.390e+00 , 2694015 
1.396e+00 , 2697871 
1.404e+00 , 2696817 
1.411e+00 , 2702860 
1.418e+00 , 2706653 
1.424e+00 , 2708624 
1.432e+00 , 2707208 
1.439e+00 , 2707111 
1.446e+00 , 2712677 
1.452e+00 , 2715795 
1.460e+00 , 2719833 
1.467e+00 , 2721780 
1.474e+00 , 2729674 
1.481e+00 , 2732590 
1.488e+00 , 2726565 
1.495e+00 , 2727571 
1.502e+00 , 2727388 
1.509e+00 , 2731534 
1.516e+00 , 2735744 
1.523e+00 , 2738025 
1.530e+00 , 2731825 
1.537e+00 , 2736361 
1.544e+00 , 2740431 
1.551e+00 , 2739609 
1.558e+00 , 2752008 
1.565e+00 , 2746593 
1.572e+00 , 2752388 
1.579e+00 , 2748273 
1.586e+00 , 2743861 
1.593e+00 , 2745633 
1.600e+00 , 2739121 
