Bins, HIstogram data
-3.500e-03 , 0 
3.500e-03 , 199977495 
1.050e-02 , 42163 
1.750e-02 , 36354 
2.450e-02 , 149959 
3.150e-02 , 123969 
3.850e-02 , 97473 
4.550e-02 , 210472 
5.250e-02 , 182823 
5.950e-02 , 235700 
6.650e-02 , 368221 
7.350e-02 , 298483 
8.050e-02 , 251111 
8.750e-02 , 262605 
9.450e-02 , 334570 
1.015e-01 , 425233 
1.085e-01 , 496072 
1.155e-01 , 345816 
1.225e-01 , 416878 
1.295e-01 , 566852 
1.365e-01 , 337189 
1.435e-01 , 567386 
1.505e-01 , 656834 
1.575e-01 , 625645 
1.645e-01 , 616256 
1.715e-01 , 585002 
1.785e-01 , 793558 
1.855e-01 , 621771 
1.925e-01 , 749719 
1.995e-01 , 798811 
2.065e-01 , 766959 
2.135e-01 , 795900 
2.205e-01 , 882551 
2.275e-01 , 791008 
2.345e-01 , 799536 
2.415e-01 , 946992 
2.485e-01 , 914489 
2.555e-01 , 921778 
2.625e-01 , 767699 
2.695e-01 , 775842 
2.765e-01 , 921937 
2.835e-01 , 906594 
2.905e-01 , 954762 
2.975e-01 , 980934 
3.045e-01 , 985254 
3.115e-01 , 952335 
3.185e-01 , 957720 
3.255e-01 , 883223 
3.325e-01 , 810685 
3.395e-01 , 1214398 
3.465e-01 , 1041932 
3.535e-01 , 1046316 
3.605e-01 , 912388 
3.675e-01 , 1115913 
3.745e-01 , 1182254 
3.815e-01 , 1308566 
3.885e-01 , 1292095 
3.955e-01 , 1317165 
4.025e-01 , 1142122 
4.095e-01 , 1227336 
4.165e-01 , 1312325 
4.235e-01 , 1357237 
4.305e-01 , 1422813 
4.375e-01 , 1027424 
4.445e-01 , 1629950 
4.515e-01 , 1336325 
4.585e-01 , 1218024 
4.655e-01 , 1543813 
4.725e-01 , 1347329 
4.795e-01 , 1512039 
4.865e-01 , 1575895 
4.935e-01 , 1479245 
5.005e-01 , 1403354 
5.075e-01 , 1507229 
5.145e-01 , 1630395 
5.215e-01 , 1813298 
5.285e-01 , 1817031 
5.355e-01 , 1560347 
5.425e-01 , 1363054 
5.495e-01 , 1446392 
5.565e-01 , 1829511 
5.635e-01 , 1794302 
5.705e-01 , 1595455 
5.775e-01 , 1758982 
5.845e-01 , 1761634 
5.915e-01 , 1765808 
5.985e-01 , 1608844 
6.055e-01 , 1790623 
6.125e-01 , 1634299 
6.195e-01 , 2256439 
6.265e-01 , 1939960 
6.335e-01 , 1962266 
6.405e-01 , 1844218 
6.475e-01 , 1966122 
6.545e-01 , 1669023 
6.615e-01 , 1931342 
6.685e-01 , 2092028 
6.755e-01 , 1916543 
6.825e-01 , 2097252 
6.895e-01 , 2140145 
6.965e-01 , 2201768 
7.035e-01 , 2184197 
7.105e-01 , 2167053 
7.175e-01 , 2148229 
7.245e-01 , 2130420 
7.315e-01 , 2131913 
7.385e-01 , 2254680 
7.455e-01 , 2357348 
7.525e-01 , 2297980 
7.595e-01 , 2379399 
7.665e-01 , 2181304 
7.735e-01 , 2022560 
7.805e-01 , 2464759 
7.875e-01 , 2487598 
7.945e-01 , 2468392 
8.015e-01 , 2209535 
8.085e-01 , 2030869 
8.155e-01 , 2051296 
8.225e-01 , 2311580 
8.295e-01 , 2535071 
8.365e-01 , 2296765 
8.435e-01 , 2937274 
8.505e-01 , 2580063 
8.575e-01 , 2439664 
8.645e-01 , 2400276 
8.715e-01 , 2481788 
8.785e-01 , 2323253 
8.855e-01 , 2824371 
8.925e-01 , 2664780 
8.995e-01 , 2607175 
9.065e-01 , 2908383 
9.135e-01 , 2768279 
9.205e-01 , 2528168 
9.275e-01 , 2610593 
9.345e-01 , 2731382 
9.415e-01 , 2511478 
9.485e-01 , 2671794 
9.555e-01 , 2753141 
9.625e-01 , 2733400 
9.695e-01 , 2795850 
9.765e-01 , 2695882 
9.835e-01 , 2774636 
9.905e-01 , 2836647 
9.975e-01 , 3055482 
1.005e+00 , 2357412 
1.012e+00 , 3077692 
1.019e+00 , 2896835 
1.026e+00 , 2958787 
1.033e+00 , 3077325 
1.039e+00 , 3098123 
1.047e+00 , 3058201 
1.054e+00 , 3018103 
1.061e+00 , 3318209 
1.067e+00 , 3258531 
1.075e+00 , 3178318 
1.082e+00 , 3416125 
1.089e+00 , 3458456 
1.095e+00 , 3199190 
1.103e+00 , 2977169 
1.110e+00 , 3237074 
1.117e+00 , 3056211 
1.123e+00 , 3258315 
1.131e+00 , 3135990 
1.138e+00 , 3215941 
1.145e+00 , 3495754 
1.151e+00 , 3375910 
1.159e+00 , 3295317 
1.166e+00 , 3274447 
1.173e+00 , 3496301 
1.179e+00 , 3255029 
1.187e+00 , 3614763 
1.194e+00 , 3114146 
1.201e+00 , 3853038 
1.207e+00 , 3793991 
1.215e+00 , 3613108 
1.222e+00 , 3571919 
1.229e+00 , 3651563 
1.236e+00 , 3690959 
1.243e+00 , 3950544 
1.250e+00 , 3808912 
1.257e+00 , 3667974 
1.264e+00 , 3789363 
1.271e+00 , 4187691 
1.278e+00 , 4208936 
1.285e+00 , 3967637 
1.292e+00 , 3986886 
1.299e+00 , 4204943 
1.306e+00 , 4245623 
1.312e+00 , 4263543 
1.320e+00 , 4062767 
1.327e+00 , 4021673 
1.334e+00 , 4281428 
1.340e+00 , 4299596 
1.348e+00 , 3899691 
1.355e+00 , 4258003 
1.362e+00 , 4298594 
1.368e+00 , 4495257 
1.376e+00 , 4293518 
1.383e+00 , 4413593 
1.390e+00 , 4651749 
1.396e+00 , 4550991 
1.404e+00 , 4748946 
1.411e+00 , 4609085 
1.418e+00 , 4888159 
1.424e+00 , 5165234 
1.432e+00 , 4604819 
1.439e+00 , 4744926 
1.446e+00 , 4823090 
1.452e+00 , 5001686 
1.460e+00 , 5158933 
1.467e+00 , 5098217 
1.474e+00 , 5036942 
1.481e+00 , 5674781 
1.488e+00 , 5133140 
1.495e+00 , 5651569 
1.502e+00 , 5429916 
1.509e+00 , 4427409 
1.516e+00 , 4426460 
1.523e+00 , 3784900 
1.530e+00 , 3242186 
1.537e+00 , 2982237 
1.544e+00 , 2739692 
1.551e+00 , 2419628 
1.558e+00 , 1817310 
1.565e+00 , 954583 
1.572e+00 , 634157 
