Bins, HIstogram data
-3.500e-03 , 0 
3.500e-03 , 46 
1.050e-02 , 73 
1.750e-02 , 84 
2.450e-02 , 112 
3.150e-02 , 121 
3.850e-02 , 128 
4.550e-02 , 134 
5.250e-02 , 153 
5.950e-02 , 151 
6.650e-02 , 182 
7.350e-02 , 216 
8.050e-02 , 202 
8.750e-02 , 190 
9.450e-02 , 178 
1.015e-01 , 162 
1.085e-01 , 168 
1.155e-01 , 175 
1.225e-01 , 160 
1.295e-01 , 155 
1.365e-01 , 175 
1.435e-01 , 185 
1.505e-01 , 183 
1.575e-01 , 173 
1.645e-01 , 173 
1.715e-01 , 169 
1.785e-01 , 153 
1.855e-01 , 178 
1.925e-01 , 195 
1.995e-01 , 184 
2.065e-01 , 195 
2.135e-01 , 197 
2.205e-01 , 193 
2.275e-01 , 202 
2.345e-01 , 195 
2.415e-01 , 201 
2.485e-01 , 228 
2.555e-01 , 218 
2.625e-01 , 210 
2.695e-01 , 226 
2.765e-01 , 187 
2.835e-01 , 239 
2.905e-01 , 233 
2.975e-01 , 262 
3.045e-01 , 252 
3.115e-01 , 236 
3.185e-01 , 249 
3.255e-01 , 256 
3.325e-01 , 237 
3.395e-01 , 247 
3.465e-01 , 280 
3.535e-01 , 261 
3.605e-01 , 252 
3.675e-01 , 278 
3.745e-01 , 282 
3.815e-01 , 275 
3.885e-01 , 323 
3.955e-01 , 251 
4.025e-01 , 251 
4.095e-01 , 308 
4.165e-01 , 285 
4.235e-01 , 293 
4.305e-01 , 265 
4.375e-01 , 284 
4.445e-01 , 324 
4.515e-01 , 300 
4.585e-01 , 287 
4.655e-01 , 319 
4.725e-01 , 312 
4.795e-01 , 310 
4.865e-01 , 303 
4.935e-01 , 342 
5.005e-01 , 310 
5.075e-01 , 361 
5.145e-01 , 348 
5.215e-01 , 361 
5.285e-01 , 364 
5.355e-01 , 352 
5.425e-01 , 356 
5.495e-01 , 390 
5.565e-01 , 396 
5.635e-01 , 354 
5.705e-01 , 363 
5.775e-01 , 359 
5.845e-01 , 394 
5.915e-01 , 397 
5.985e-01 , 361 
6.055e-01 , 376 
6.125e-01 , 386 
6.195e-01 , 386 
6.265e-01 , 402 
6.335e-01 , 349 
6.405e-01 , 355 
6.475e-01 , 365 
6.545e-01 , 360 
6.615e-01 , 356 
6.685e-01 , 369 
6.755e-01 , 365 
6.825e-01 , 336 
6.895e-01 , 353 
6.965e-01 , 400 
7.035e-01 , 389 
7.105e-01 , 340 
